PLAYER_ID,SEASON,VOTE_POINTS,VOTE_FIRST
201567,2011-12,58,0
2730,2011-12,13,0
200765,2011-12,12,0
959,2011-12,7,0
2548,2011-12,6,0
201565,2011-12,5,0
1717,2011-12,4,0
201566,2011-12,4,0
1495,2011-12,3,0
2207,2011-12,1,0
2544,2012-13,1207,120
201142,2012-13,765,0
2546,2012-13,475,1
101108,2012-13,289,0
977,2012-13,184,0
2225,2012-13,86,0
1495,2012-13,65,0
201935,2012-13,33,0
201566,2012-13,9,0
2548,2012-13,5,0
201939,2012-13,3,0
708,2012-13,1,0
201188,2012-13,1,0
201951,2012-13,1,0
101135,2012-13,1,0
201149,2012-13,1,0
201142,2013-14,1232,119
2544,2013-14,891,6
201933,2013-14,434,0
201149,2013-14,322,0
201935,2013-14,85,0
201939,2013-14,66,0
101108,2013-14,45,0
2744,2013-14,34,0
202331,2013-14,33,0
200746,2013-14,26,0
201567,2013-14,25,0
1495,2013-14,21,0
2225,2013-14,21,0
1717,2013-14,7,0
2546,2013-14,4,0
201144,2013-14,1,0
201939,2014-15,1198,100
201935,2014-15,936,25
2544,2014-15,552,5
201566,2014-15,352,0
203076,2014-15,203,0
101108,2014-15,124,0
200746,2014-15,6,0
201188,2014-15,3,0
201933,2014-15,3,0
1495,2014-15,1,0
202695,2014-15,1,0
202691,2014-15,1,0
201939,2015-16,1310,131
202695,2015-16,634,0
2544,2015-16,631,0
201566,2015-16,486,0
201142,2015-16,147,0
101108,2015-16,107,0
203110,2015-16,50,0
203081,2015-16,26,0
201935,2015-16,9,0
200768,2015-16,6,0
201566,2016-17,888,69
201935,2016-17,753,22
202695,2016-17,500,9
2544,2016-17,333,1
202738,2016-17,81,0
201939,2016-17,52,0
203507,2016-17,7,0
202322,2016-17,7,0
203076,2016-17,2,0
201142,2016-17,2,0
201942,2016-17,1,0
201935,2017-18,965,86
2544,2017-18,738,15
203076,2017-18,445,0
203081,2017-18,207,0
201566,2017-18,76,0
203507,2017-18,75,0
201142,2017-18,66,0
201942,2017-18,32,0
200746,2017-18,6,0
201939,2017-18,5,0
203954,2017-18,4,0
203506,2017-18,2,0
203507,2018-19,941,78
201935,2018-19,776,23
202331,2018-19,356,0
201939,2018-19,175,0
203081,2018-19,69,0
203954,2018-19,49,0
201142,2018-19,25,0
202695,2018-19,13,0
201566,2018-19,8,0
203497,2018-19,1,0
2544,2018-19,1,0
203507,2019-20,962,85
2544,2019-20,753,16
201935,2019-20,367,0
202695,2019-20,168,0
203076,2019-20,82,0
101108,2019-20,26,0
203081,2019-20,23,0
1627783,2019-20,17,0
1628369,2019-20,1,0
203954,2020-21,586,1
201939,2020-21,453,5
203507,2020-21,348,1
101108,2020-21,139,2
203081,2020-21,38,0
203944,2020-21,20,0
201565,2020-21,10,1
203497,2020-21,8,0
201566,2020-21,5,0
1627732,2020-21,3,0
201935,2020-21,1,0
2544,2020-21,1,0
202695,2020-21,1,0
203954,2021-22,706,26
203507,2021-22,595,9
1626164,2021-22,216,0
1628369,2021-22,43,0
1629630,2021-22,10,0
201939,2021-22,4,0
101108,2021-22,2,0
201942,2021-22,1,0
201142,2021-22,1,0
2544,2021-22,1,0
203954,2022-23,915,73
203507,2022-23,606,12
1628369,2022-23,280,0
1628983,2022-23,46,0
1628378,2022-23,30,0
1627734,2022-23,27,0
201939,2022-23,5,0
1628368,2022-23,2,0
1628973,2022-23,1,0
1629630,2022-23,1,0
1628983,2023-24,640,15
203507,2023-24,192,1
1628973,2023-24,142,0
1628369,2023-24,86,0
1630162,2023-24,18,0
1627734,2023-24,3,0
201142,2023-24,1,0
