TEAM_ID,SEASON,W,W_PCT
1610612739,1994-95,,
1610612741,1994-95,,
1610612742,1994-95,,
1610612743,1994-95,,
1610612744,1994-95,,
1610612745,1994-95,,
1610612746,1994-95,,
1610612747,1994-95,,
1610612748,1994-95,,
1610612749,1994-95,,
1610612750,1994-95,,
1610612751,1994-95,,
1610612752,1994-95,,
1610612753,1994-95,,
1610612754,1994-95,,
1610612755,1994-95,,
1610612756,1994-95,,
1610612757,1994-95,,
1610612758,1994-95,,
1610612759,1994-95,,
1610612760,1994-95,,
1610612762,1994-95,,
1610612764,1994-95,,
1610612765,1994-95,,
1610612766,1994-95,,
1610612737,1995-96,,
1610612738,1995-96,,
1610612739,1995-96,,
1610612741,1995-96,,
1610612742,1995-96,,
1610612743,1995-96,,
1610612744,1995-96,,
1610612745,1995-96,,
1610612746,1995-96,,
1610612747,1995-96,,
1610612748,1995-96,,
1610612749,1995-96,,
1610612750,1995-96,,
1610612751,1995-96,,
1610612752,1995-96,,
1610612753,1995-96,,
1610612754,1995-96,,
1610612755,1995-96,,
1610612756,1995-96,,
1610612757,1995-96,,
1610612758,1995-96,,
1610612759,1995-96,,
1610612760,1995-96,,
1610612761,1995-96,,
1610612762,1995-96,,
1610612763,1995-96,,
1610612764,1995-96,,
1610612765,1995-96,,
1610612766,1995-96,,
1610612737,1996-97,56.0,0.683
1610612738,1996-97,15.0,0.183
1610612766,1996-97,54.0,0.659
1610612741,1996-97,69.0,0.841
1610612739,1996-97,42.0,0.512
1610612742,1996-97,24.0,0.293
1610612743,1996-97,21.0,0.256
1610612765,1996-97,54.0,0.659
1610612744,1996-97,30.0,0.366
1610612745,1996-97,57.0,0.695
1610612754,1996-97,39.0,0.476
1610612746,1996-97,36.0,0.439
1610612747,1996-97,56.0,0.683
1610612748,1996-97,61.0,0.744
1610612749,1996-97,33.0,0.402
1610612750,1996-97,40.0,0.488
1610612751,1996-97,26.0,0.317
1610612752,1996-97,57.0,0.695
1610612753,1996-97,45.0,0.549
1610612755,1996-97,22.0,0.268
1610612756,1996-97,40.0,0.488
1610612757,1996-97,49.0,0.598
1610612758,1996-97,34.0,0.415
1610612759,1996-97,20.0,0.244
1610612760,1996-97,57.0,0.695
1610612761,1996-97,30.0,0.366
1610612762,1996-97,64.0,0.78
1610612763,1996-97,14.0,0.171
1610612764,1996-97,44.0,0.537
1610612737,1997-98,50.0,0.61
1610612738,1997-98,36.0,0.439
1610612766,1997-98,51.0,0.622
1610612741,1997-98,62.0,0.756
1610612739,1997-98,47.0,0.573
1610612742,1997-98,20.0,0.244
1610612743,1997-98,11.0,0.134
1610612765,1997-98,37.0,0.451
1610612744,1997-98,19.0,0.232
1610612745,1997-98,41.0,0.5
